heading,description
Virender Sehwag urges BCCI to have ‘Bharat’ instead of ‘India’ on Indian jerseys at ICC World Cup,Sehwag said that his opinion was not based on political affiliation and indicated that he had turned down offers from two political parties in recent elections.
"Afghanistan vs Sri Lanka, Asia Cup 2023 Highlights: Heartbreak for AFG as Shahidi and Nabi’s knocks go in vain, SL win by 2 wickets, qualify for Super 4s","Asia Cup 2023, AFG vs SL Match Highlights: Afghanistan, who needed to chase a target of 292 in 37.1 overs, fought hard but were bowled out for 289 in 37.4 overs despite fifties from Mohammad Nabi (65) and Hashmatullah Shahidi (59)."
India’s ICC World Cup squad: How and why Sanju Samson lost out to Ishan Kishan for a place in the Indian teamPremium Story,"Sanju Samson has failed to capitalise on his chances, or his good knocks have been overshadowed by a better one by his teammates. He didn't have enough meaningful runs under his belt and wasn't slick enough as a wicket-keeper to oust KL Rahul."
"India World Cup Squad Announcement Highlights: 15 member team revealed, no place for Ashwin or Samson","India World Cup Squad Announcement 2023 Highlights: India picked seven batters, four bowlers and four all-rounders for ODI World Cup."
"US Open 2023: Watch Carlos Alcaraz makes quick work of Arnaldi, Medvedev gets ‘early’ win to reach quarters",Alcaraz took charge with a break for a 4-2 lead in the first set and then broke again at the start of the second to find himself 2-0 up.
Spain’s men’s team condemn Luis Rubiales’ ‘unacceptable behavior’ that ‘tarnished’ women’s World Cup win,"Spain men’s coach Luis de la Fuente, who applauded Rubiales' diatribe against what he called “false feminists” while refusing to resign, apologized on Friday."
Brazil drops Man United winger Antony from squad after accusations of domestic abuse,"Antony posted a statement on Instagram earlier Monday, before he was removed from the team, saying “I vehemently deny the accusations.”"
Serbian player loses a kidney after getting injured at Basketball World Cup,Simanic was injured with just under 2 minutes left in Serbia's win over South Sudan.
"‘Only Jay Shah can explain why Sri Lanka was accommodated against all reason, logic’: Former PCB chief Najam Sethi hits out at BCCI secy","According to Najam Sethi, the ACC' refused to select UAE as an alternative venue as the co-host of Asia Cup after India refused to play their matches in Pakistan."
Asia Cup: Hambantota looks set to host Super 4 Stage,Heavy rain in Colombo forces ACC to change venue for the next round and final
We haven’t been at our best: Rohit Sharma after India beat Nepal,India's first game against arch-rivals Pakistan was washed out and they beat minnows Nepal by 10 wickets on Monday under the Duckworth/Lewis method in a rain-interrupted match to make it to the Super 4.
"Spilled catches and bowling that lacked sting, temper India’s 10 wkt win over Nepal in Asia Cup","Allowing Nepal to put 230 runs on board, taking 48.3 overs to shut them out exposed India's tepid outing with the ball."
"IND vs NEP Asia Cup 2023 report card: Rohit Sharma, Shubman Gill star as India down game Nepal by 10 wickets",India will now go again on Sunday where they will take on arch-rivals Pakistan for the second time in the tournament after their first tie was washed out on September 2.
Kane Williamson set to captain New Zealand in World Cup after progress in injury recovery,"Williamson underwent surgery after suffering a ruptured anterior cruciate ligament (ACL) in the Indian Premier League in early April, which had cast doubt over his participation in the tournament."
Gautam Gambhir allegedly makes obscene gesture; claims spectators made anti-India chants,World Cup winner and BJP MP said Pak fans made remarks about Kashmir and he was merely reacting.
R Praggnanandhaa: ‘My mother can tell just by looking at my face & body language if I have a good position on board’,"Nagalakshmi has been Pragg's pillar of strength throughout his journey, sorting out logistics and offering emotional support."
Pragg-mania hits Kolkata as World Cup finalist is mobbed for autographs,"Competing at the Tata Steel Chess India event, the 18-year-old Candidates qualifier plays down adulation but says “I feel like I have the potential to be the world champion”"
Asia Cup: Nepal fight Himalayan odds to rise up cricket’s pecking order,Lack of facilities and inhospitable climate have engendered tough team spirit and passionate love for the game
Police investigating alleged assault on Sky Sports pundit Roy Keane,"""We understand the police are investigating an alleged assault by a member of the public immediately preceding the footage circulating on social media,"" a spokesperson for Sky Sports said on their website."
This is purely cricketing invitation and shouldn’t be mixed with politics: BCCI VP Shukla on Pakistan visit,The last time an Indian cricket team travelled to Pakistan was back in 2008 for the Asia Cup. Pakistan last hosted India for a bilateral series in 2006.
"AFG vs SL Live Streaming, Asia Cup 2023: When and where to watch match live?","Afghanistan vs Sri Lanka Live Streaming, Asia Cup 2023: Sri Lanka will take on Afghanistan at the Gaddafi Stadium in Lahore."
Switzerland Tourism felicitates Neeraj Chopra,The 25-year-old Chopra became only the third javelin thrower in history to hold both the Olympic and World Championships crowns after winning the worlds title in Budapest with a throw of 88.17m last month.
"India vs Nepal Highlights, Asia Cup 2023: IND into the Super 4 with 10 wicket win, fifties from Gill and Rohit","Asia Cup 2023 Highlights, India vs Nepal Match Today: The weather forecast for Pallekele is 80% of rain in the morning and around 65% chances of rain in the afternoon."
"From Leonardo DiCaprio to Selena Gomez, Prince Harry to Tom Holland: Celebs galore in Leo Messi’s first MLS game in LA","On pitch, Messi added two more assists under his belt in a Miami shirt in a 3-1 win."
Rohan Bopanna-Matthew Ebden enter US Open quarterfinals,"The sixth seeded Indo-Australian pair won 6-4, 6-7(5), 7-6(10-6) against the British duo of Cash and Patten after toiling hard for two hours 22 minutes."
"Iga Swiatek bundled out of US Open, Novak Djokovic marches on",Swiatek's defeat means a new US Open women's champion will be crowned next Saturday.
"Jasprit Bumrah blessed with baby boy, shares news on social media","The 29-year-old had left the Indian camp in Sri Lanka on Sunday to be with his wife in Mumbai, henceforth missing out on India's game against Nepal on Monday."
"Asia Cup: Another start-stop on cards, India set to qualify for Super Four in case of a washout against Nepal","With Colombo, the venue for the Super 4 stages, also witnessing heavy rain over the last 72 hours, discussions are underway in the Asian Cricket Council to look at other cities as Plan B."
"India vs Nepal, Asia Cup 2023 tip-off XI: Shami returns, Kishan retains middle order spot",The Indian Express argues how Rohit Sharma and Co may lineup in their second Asia Cup game in three days.
"Asia Cup: Dinesh Karthik says Shaheen, Rauf and Naseem are far more potent than Bumrah, Shami and Siraj","Dinesh Karthik has praised the Pakistan trio of Shaheen Shah Afridi, Haris Rauf and Naseem Shah and call them one of the best fast bowling attack."
Robert Lewandowski scores late penalty in Barcelona’s 2-1 win at Osasuna,Barcelona’s win kept it two points behind Spanish league leader Real Madrid after four rounds.
Kylian Mbappe scores 2 goals as PSG rout Lyon 4-1,All of PSG's goals came in the first half against a dismal Lyon side.
Jadon Sancho says he is a ‘scapegoat’ in angry reaction to comments by Manchester United manager Erik ten Hag,"Ten Hag said after the match that Sancho, who came off the bench in United's first three matches of the season, was left out because of “his performances in training.”"
Declan Rice and Gabriel Jesus score in injury time as Arsenal earns 3-1 win over Manchester United in EPL,Marcus Rashford gave United the lead against the run of play after a quick counter in the 27th and Odegaard leveled shortly after the restart.
